vehicle_access_context,weighted_households_all,weighted_households_target,mean_no_vehicle_share,share_all_households,share_target_households,target_minus_all_gap
Higher no-vehicle PUMAs,316254.0,88573.0,0.09769282681869308,0.6075988764606204,0.6441953830712613,0.036596506610640955
Lower no-vehicle PUMAs,204244.0,48921.0,0.06138448949930047,0.3924011235393796,0.3558046169287387,-0.0365965066106409
