puma5,NAME,no_vehicle_share
4802507,"Tarrant County (East)--Arlington City (West)--South of I-30 & East of Loop I-820 PUMA, Texas",0.042368990621105794
4802508,"Fort Worth City (East Central)--South of I-30, East of I-35W & Inside Loop I-820 PUMA; Texas",0.095991356622434
4802509,"Fort Worth (Northeast) & Hurst (South) Cities--North of I-30 PUMA, Texas",0.04742612011439466
4802510,"Tarrant County (North)--North Richland Hills (North) & Keller Cities PUMA, Texas",0.027386873034635027
4802511,"Fort Worth City (North)--East of I-35W & West of US-377 PUMA, Texas",0.012095209840480157
4802512,"Fort Worth City (North Central) & Haltom City (North)--Inside Loop I-820 PUMA, Texas",0.04771784232365145
4802513,"Fort Worth City (South Central) & Edgecliff Village Town PUMA, Texas",0.07364523585309476
4802514,"Tarrant County (Southwest)--Fort Worth (Southwest) & Benbrook Cities PUMA, Texas",0.06574614265893249
4802515,"Tarrant County (West)--Fort Worth City (West) PUMA, Texas",0.055343894124724284
4802516,"Tarrant County (Northwest)--Fort Worth (Northwest) & Saginaw Cities PUMA, Texas",0.012479912469655007
4802600,"West Central Texas COG (Outside Taylor County) PUMA, Texas",0.05256757343679875
4802700,"West Central Texas COG--Taylor County--Abilene City PUMA, Texas",0.046536065450724313
4802800,"Concho Valley COG & Permian Basin Regional Planning Commission (East) PUMA, Texas",0.04701267693707009
4802900,"Concho Valley COG--Tom Green County--San Angelo City PUMA, Texas",0.05467041549515776
4803000,"Permian Basin Regional Planning Commission (Central)--Midland County--Midland City PUMA, Texas",0.04021667244039933
4803100,"Permian Basin Regional Planning Commission (Central)--Ector County--Odessa City PUMA, Texas",0.04991612870431556
4803200,"Rio Grande COG & Permian Basin Regional Planning Commission (West) PUMA, Texas",0.05734758199546932
4803301,"El Paso County (Outside El Paso City)--Socorro & Horizon Cities PUMA, Texas",0.021440429515029495
4803302,"El Paso City (East) PUMA, Texas",0.03973959807529012
4803303,"El Paso City (Southeast) PUMA, Texas",0.07555887094833602
4803304,"El Paso City (Central) PUMA, Texas",0.17391885390495537
4803305,"El Paso City (North) PUMA, Texas",0.07322180069241453
4803306,"El Paso City (Northwest) PUMA, Texas",0.05087517766398629
4803400,"Central Texas COG (West), Burnet & Llano Counties PUMA; Texas",0.039461651018168516
4803501,"Central Texas COG--Bell County (West)--Killeen & Harker Heights Cities PUMA, Texas",0.059165272355456405
4803502,"Central Texas COG--Bell County (North, East & South)--Temple & Belton Cities PUMA; Texas",0.06293865300368355
4803601,"Brazos Valley COG (Outside Brazos County) & Milam County PUMA, Texas",0.05071927226570764
4803602,"Brazos Valley COG--Brazos County--College Station & Bryan Cities PUMA, Texas",0.05422889736568333
4803700,"Heart of Texas COG (Outside McLennan County) & Navarro County PUMA, Texas",0.053366842880665566
4803801,"Heart of Texas COG--McLennan County--Waco City (Central) PUMA, Texas",0.0908004778972521
4803802,"Heart of Texas COG--McLennan County--Waco (Outer), Hewitt & Robinson Cities PUMA; Texas",0.02955942911942235
4803900,"Deep East Texas COG (West) & Walker County PUMA, Texas",0.05992975382337654
4804000,"Deep East Texas COG (Central)--Angelina & Nacogdoches Counties PUMA, Texas",0.05886499186697994
4804100,"Deep East Texas COG (East) PUMA, Texas",0.0653040013857613
4804200,"Orange & Hardin Counties PUMA, Texas",0.05066010467932193
4804301,"Jefferson County (North Central)--Beaumont City PUMA, Texas",0.08399376669634906
4804302,"Jefferson County (Outside Beaumont City)--Port Arthur City PUMA, Texas",0.06292989901946436
4804400,"Houston-Galveston Area Council--Liberty & Chambers Counties PUMA, Texas",0.03843354541826122
4804501,"Houston-Galveston Area Council--Montgomery County (Northeast)--Conroe City (East) PUMA, Texas",0.04413054764845946
4804502,"Houston-Galveston Area Council--Montgomery County (West)--Conroe City (West) PUMA, Texas",0.025239324065595606
4804503,"Houston-Galveston Area Council--Montgomery County (South)--The Woodlands (North) PUMA, Texas",0.03348467650397276
4804504,"Houston-Galveston Area Council--Montgomery County (Southeast) PUMA, Texas",0.02787614101353478
4804601,"Houston City (North Central)--North of I-10 & Inside Loop I-610 PUMA, Texas",0.09325444258506654
4804602,"Houston City (East Central)--East of I-45 & Inside Loop I-610 PUMA, Texas",0.1258571169819132
4804603,"Houston City (South Central)--South of US-59, West of I-45 & Inside Loop I-610 PUMA; Texas",0.1383011457220945
4804604,"Houston City (West Central)--South of I-10 & Inside Loop I-610 PUMA, Texas",0.046242698865868674
4804605,"Harris County (Southeast)--Pasadena City (North & Central)--Inside Beltway TX-8 PUMA, Texas",0.0640945861854387
4804606,"Houston (East), Galena Park, Jacinto Cities & Cloverleaf PUMA; Texas",0.056173084557364035
4804607,"Houston City (Northeast)--Between Loop I-610 & Beltway TX-8 PUMA, Texas",0.07028222200139124
4804608,"Houston City (North) & Aldine--Between Loop I-610 & Beltway TX-8 PUMA, Texas",0.1082534486789806
4804609,"Houston City (North)--South of Aldine & Inside Beltway TX-8 PUMA, Texas",0.09933641664990951
4804610,"Houston City (North)--West of Aldine & Inside Beltway TX-8 PUMA, Texas",0.07005459170549061
4804611,"Houston City (Northwest)--Between Loop I-610 & Beltway TX-8 PUMA, Texas",0.07431410127093
4804612,"Houston (West) & Spring Valley Village Cities--Between Loop I-610 & Beltway TX-8 PUMA, Texas",0.0720517943400521
4804613,"Houston (West) & Hunters Creek Village Cities--Between Loop I-610 & Beltway TX-8 PUMA, Texas",0.06908285056187617
4804614,"Houston City (West)--Westpark Tollway, Between Loop I-610 & Beltway TX-8 PUMA; Texas",0.1627133319661859
4804615,"Houston (Southwest) & Bellaire (Southeast) Cities--Between Loop I-610 & Beltway TX-8 PUMA, Texas",0.11001618310021963
4804616,"Houston City (Southwest)--Between Loop I-610 & Beltway TX-8 PUMA, Texas",0.10985658346746102
